taxon	min	max
LOC-A1-2010	9	9
LOC-A1-2011	8	8
LOC-A1-2012	7	7
LOC-A1-2013	6	6
LOC-A1-2014	5	5
LOC-A2-2012	7	7
LOC-A2-2013	6	6
LOC-A2-2014	5	5
LOC-A2-2015	4	4
LOC-A2-2016	3	3
LOC-A2-2017	2	2
LOC-C1-2017	2	2
LOC-C1-2018	1	1
LOC-C1-2019	0	0
LOC-D1-2017	2	2
LOC-E1-2017	2	2
LOC-F1-2017	2	2
LOC-F2-2019	0	0
LOC-G1-2017	2	2
LOC-G2-2019	0	0
