taxon	min	max
HC2-A1-1992	21	21
HC2-C1-1992	21	21
HC2-C2-1992	21	21
HC2-C3-1992	21	21
HC2-D1-1992	21	21
HC2-E1-2011	2	2
HC2-E2-2011	2	2
HC2-F1-2011	2	2
HC2-F2-2011	2	2
HC2-G1-2011	2	2
HC2-H1-2013	0	0
