Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
3,10,2,2,7,14,17,4,1,1,2,6,21,0.2897469,-1.862521,0.167298
2,5,1,2,13,17,12,6,0,0,2,4,22,0.3035443,-0.1729827,0.2916667
6,9,2,2,9,13,7,4,0,0,4,6,18,0.2483545,-0.6137532,0.2133838
1,4,1,2,16,20,16,8,0,0,1,3,23,0.3173418,0.8936589,0.3813131
3,5,2,3,16,20,7,7,0,0,2,2,21,0.2897469,0.5189366,0.3238636
2,5,1,2,13,17,10,7,0,0,2,4,22,0.3035443,0.2775355,0.322601
5,9,3,4,12,15,10,6,0,0,3,5,19,0.2621519,0.5665009,0.2960859
5,10,2,4,11,15,9,6,0,0,4,5,19,0.2621519,-0.6244386,0.2247475
3,7,1,2,12,19,7,6,0,0,3,5,21,0.2897469,0.4229101,0.3175505
1,5,1,2,15,19,19,9,1,1,1,4,23,0.3173418,1.061225,0.3933081
2,5,2,2,16,19,17,13,1,1,1,3,22,0.3035443,0.5809458,0.3434343
3,7,1,2,12,18,7,6,1,1,3,5,21,0.2897469,0.3556915,0.3131313
5,9,2,4,10,15,10,7,1,1,3,4,19,0.2621519,-0.002620627,0.2619949
1,5,1,2,13,16,19,8,0,0,1,4,23,0.3173418,0.4791545,0.3516414
3,8,1,3,12,17,9,6,1,1,3,5,21,0.2897469,0.1252278,0.2979798
5,8,2,3,12,14,11,6,0,0,4,6,19,0.2621519,0.1133115,0.2689394
2,8,1,3,12,15,16,4,0,0,2,5,22,0.3035443,-0.439616,0.2733586
1,3,1,2,15,20,21,14,0,0,1,2,23,0.3173418,1.281706,0.4090909
4,8,2,4,12,14,7,6,0,0,3,5,20,0.2759494,0.06930036,0.280303
4,8,2,2,12,16,6,4,0,0,3,6,20,0.2759494,0.3305778,0.2967172
3,12,2,4,9,17,12,4,0,0,2,6,21,0.2897469,-0.7582162,0.239899
1,6,1,2,14,20,19,8,1,1,1,5,23,0.3173418,0.7525511,0.3712121
2,4,1,2,17,17,9,8,0,0,2,3,22,0.3035443,1.132601,0.3813131
4,10,3,3,11,15,11,4,0,0,2,5,20,0.2759494,0.2602339,0.292298
7,12,2,3,8,14,9,4,0,0,4,7,17,0.234557,-0.6486405,0.1994949
2,6,1,2,12,16,12,5,0,0,2,5,22,0.3035443,-0.01668048,0.302399
4,9,2,2,11,16,6,4,0,0,3,6,20,0.2759494,-0.2120753,0.2626263
5,9,2,3,12,15,7,5,1,1,4,6,19,0.2621519,-0.234485,0.2481061
2,5,1,3,12,18,10,8,1,1,2,3,22,0.3035443,0.5257803,0.3396465
0,3,0,2,16,21,24,8,3,3,0,2,24,0.3311393,0.7073442,0.3838384
3,5,1,2,15,17,10,9,2,2,3,4,21,0.2897469,1.114301,0.3630051
6,12,2,2,11,15,9,4,1,1,5,7,18,0.2483545,0.1950784,0.2594697
3,8,2,2,12,16,17,4,0,0,2,6,21,0.2897469,0.03880396,0.292298
1,4,1,2,16,21,18,12,2,2,1,3,23,0.3173418,1.061225,0.3933081
2,4,1,2,13,17,11,7,1,1,2,3,22,0.3035443,0.1304275,0.3125
6,9,4,4,11,17,8,5,0,0,3,5,18,0.2483545,0.427756,0.2727273
1,5,1,3,12,17,13,11,0,0,1,2,23,0.3173418,-0.305758,0.2954545
5,9,3,3,10,14,15,9,0,0,3,6,19,0.2621519,-0.7509101,0.2171717
5,12,1,3,7,11,5,2,0,0,5,8,19,0.2621519,-2.099939,0.1363636
2,6,1,3,17,17,13,11,0,0,2,3,22,0.3035443,0.6820825,0.3503788
2,4,1,2,17,19,9,8,1,1,2,3,22,0.3035443,1.26132,0.3901515
0,7,0,2,13,20,24,6,0,0,0,5,24,0.3311393,-0.02139279,0.3295455
2,4,1,2,14,18,14,13,1,1,2,3,22,0.3035443,0.7648308,0.3560606
7,10,2,5,8,12,4,4,1,1,5,5,17,0.234557,-1.290994,0.1647727
4,7,2,4,12,15,7,7,0,0,3,4,20,0.2759494,0.7224939,0.3213384
4,8,2,3,12,14,12,8,1,1,2,4,20,0.2759494,0.1697917,0.2866162
4,8,1,3,10,14,6,6,0,0,4,4,20,0.2759494,-0.04124008,0.2733586
2,6,1,2,14,18,12,7,1,1,2,5,22,0.3035443,0.443032,0.3339646
4,11,2,2,9,13,6,4,0,0,3,7,20,0.2759494,-1.377775,0.1893939
0,4,0,2,14,18,24,12,0,0,0,2,24,0.3311393,0.7158179,0.3844697
2,5,1,2,16,18,12,8,1,1,2,3,22,0.3035443,0.5257803,0.3396465
4,12,1,3,9,15,8,5,0,0,4,7,20,0.2759494,-0.9959075,0.2133838
4,9,2,3,12,15,11,5,0,0,3,5,20,0.2759494,-0.001043556,0.2758838
2,7,1,2,14,16,13,5,0,0,2,5,22,0.3035443,0.3418953,0.3270202
5,8,2,2,14,19,7,4,0,0,4,6,19,0.2621519,0.5138045,0.2929293
4,7,2,3,12,18,13,7,0,0,3,4,20,0.2759494,0.119546,0.2834596
2,7,1,2,11,15,17,5,0,0,2,5,22,0.3035443,-0.3200907,0.2815657
2,6,1,2,13,19,10,6,1,1,2,5,22,0.3035443,0.4338378,0.3333333
1,4,1,2,13,20,20,8,1,1,1,3,23,0.3173418,0.53207,0.3554293
2,7,1,2,14,16,8,8,0,0,2,4,22,0.3035443,0.700471,0.3516414
2,9,2,2,13,18,17,5,0,0,1,6,22,0.3035443,-0.2005655,0.2897727
4,8,2,3,11,18,6,4,0,0,3,4,20,0.2759494,0.1999391,0.2885101
5,9,3,4,14,17,12,10,1,1,3,5,19,0.2621519,-0.07639564,0.2575758
5,12,2,4,9,17,8,5,0,0,3,4,19,0.2621519,-0.7719887,0.2159091
3,7,1,2,13,18,6,6,0,0,3,5,21,0.2897469,0.6533737,0.332702
2,6,1,2,11,17,12,8,1,1,2,5,22,0.3035443,0.02009652,0.3049242
0,4,0,2,13,17,24,12,1,1,0,2,24,0.3311393,-0.02139279,0.3295455
3,7,1,2,12,15,10,8,0,0,3,5,21,0.2897469,-0.3549048,0.2664141
4,9,1,3,12,16,8,4,0,1,4,6,20,0.2759494,0.6019043,0.3137626
4,7,1,3,14,18,6,6,0,1,4,4,20,0.2759494,0.8631817,0.3301768
5,11,1,3,10,16,8,4,1,1,5,8,19,0.2621519,-0.2871814,0.2449495
7,9,4,4,10,14,12,6,1,1,3,3,17,0.234557,-0.0763615,0.2304293
1,4,1,2,13,17,12,10,0,0,1,3,23,0.3173418,0.567347,0.3579545
2,6,1,3,13,19,10,8,1,1,2,4,22,0.3035443,0.22237,0.3188131
3,8,1,3,14,18,9,8,2,2,3,5,21,0.2897469,0.9894666,0.354798
6,9,2,2,10,14,5,5,0,0,5,7,18,0.2483545,-0.248117,0.2342172
4,7,2,2,15,16,10,8,0,0,2,4,20,0.2759494,1.064164,0.342803
6,10,2,3,9,13,6,3,0,0,5,7,18,0.2483545,-0.7134722,0.207702
3,7,1,2,13,16,16,8,0,0,3,5,21,0.2897469,0.5381419,0.3251263
3,7,2,4,11,15,11,9,0,0,2,3,21,0.2897469,-0.1916597,0.2771465
5,9,2,3,11,14,6,5,0,0,4,5,19,0.2621519,-0.2450243,0.2474747
4,5,2,3,13,17,10,10,1,1,3,3,20,0.2759494,1.204852,0.3516414
4,8,2,2,10,15,10,9,0,0,3,6,20,0.2759494,-1.166743,0.2026515
1,7,1,2,11,18,17,6,0,0,1,5,23,0.3173418,-0.02354228,0.3156566
3,11,2,5,11,15,12,5,0,0,2,4,21,0.2897469,-0.6141764,0.2493687
4,7,1,3,14,18,10,8,0,0,4,4,20,0.2759494,0.5918552,0.3131313
2,7,1,3,13,18,16,12,0,0,2,4,22,0.3035443,0.9395216,0.3680556
2,4,1,2,14,18,16,8,0,0,2,3,22,0.3035443,0.8016078,0.3585859
3,7,2,4,14,18,13,10,2,2,2,3,21,0.2897469,1.671255,0.3996212
2,6,1,3,14,21,11,9,0,0,2,4,22,0.3035443,0.626917,0.3465909
1,4,1,2,14,18,15,12,0,0,1,2,23,0.3173418,0.4086006,0.3465909
2,8,1,3,13,15,14,6,0,0,2,4,22,0.3035443,-0.2373425,0.2872475
2,5,1,3,13,17,11,11,1,1,2,2,22,0.3035443,0.295924,0.3238636
1,5,1,2,13,17,21,11,0,0,1,3,23,0.3173418,0.1087464,0.3251263
1,5,1,2,12,18,20,4,0,0,1,4,23,0.3173418,0.3204082,0.3402778
4,7,1,3,12,16,5,4,0,0,4,4,20,0.2759494,0.01905471,0.2771465
5,10,1,2,11,15,6,3,0,0,5,9,19,0.2621519,-0.1185528,0.2550505
7,9,3,3,11,12,4,4,1,1,5,6,17,0.234557,0.7528591,0.2752525
2,8,1,3,11,18,13,4,0,0,2,6,22,0.3035443,-0.09023449,0.2973485
1,3,1,2,14,19,12,12,1,1,1,2,23,0.3173418,0.6555394,0.3642677
1,5,1,2,13,17,21,9,1,1,1,4,23,0.3173418,0.3645044,0.3434343
2,5,1,2,13,16,10,7,1,1,2,4,22,0.3035443,0.5349745,0.3402778
3,7,2,4,11,17,9,7,2,2,2,3,21,0.2897469,-0.009209305,0.2891414
2,6,1,2,12,19,14,7,0,0,2,4,22,0.3035443,0.406255,0.3314394
8,13,2,4,10,12,6,4,0,0,6,7,16,0.2207595,-1.366633,0.1508838
3,6,3,3,14,18,17,9,0,0,1,3,21,0.2897469,0.8646321,0.3465909
4,6,1,2,12,16,6,5,1,2,4,5,20,0.2759494,0.7023956,0.3200758
4,10,1,4,10,16,11,3,0,0,4,7,20,0.2759494,-0.5135492,0.2436869
7,12,3,5,7,14,7,3,0,0,4,6,17,0.234557,-1.220919,0.1685606
4,7,2,3,9,15,7,6,1,1,3,4,20,0.2759494,-0.2221244,0.2619949
3,5,1,2,12,15,11,10,0,0,3,4,21,0.2897469,-0.210865,0.2758838
7,12,2,4,8,15,5,3,0,0,6,8,17,0.234557,-0.3683406,0.2146465
6,12,2,4,10,18,10,7,0,0,4,5,18,0.2483545,-0.6248331,0.2127525
4,11,1,3,11,14,7,4,1,1,4,6,20,0.2759494,0.03915297,0.2784091
3,7,2,2,11,15,12,6,1,1,2,5,21,0.2897469,-0.08603053,0.2840909
5,8,2,5,12,15,12,7,0,0,3,4,19,0.2621519,0.714051,0.3049242
4,10,1,3,9,15,10,5,0,0,4,6,20,0.2759494,-0.262321,0.2594697
5,12,2,2,9,15,8,3,0,0,4,8,19,0.2621519,-0.3293386,0.2424242
8,13,2,5,9,14,7,5,0,0,6,6,16,0.2207595,-0.144254,0.2133838
4,8,1,2,12,15,12,7,1,1,4,6,20,0.2759494,0.2401356,0.2910354
5,10,2,4,10,16,5,5,0,0,4,5,19,0.2621519,-0.2028671,0.25
3,8,2,2,13,17,10,4,0,0,2,5,21,0.2897469,0.1252278,0.2979798
0,5,0,2,17,23,24,8,0,0,0,3,24,0.3311393,1.139502,0.4160354
5,11,2,3,10,16,8,4,0,0,4,6,19,0.2621519,-0.2134064,0.2493687
3,7,2,4,13,16,12,7,2,2,2,4,21,0.2897469,0.2404597,0.3055556
1,5,1,2,11,19,19,9,0,0,1,4,23,0.3173418,-0.958382,0.2487374
5,11,2,3,11,15,9,3,0,0,4,7,19,0.2621519,-0.529585,0.2304293
1,8,1,3,14,18,20,8,0,0,1,4,23,0.3173418,0.241035,0.334596
2,5,1,4,12,15,13,8,1,1,2,2,22,0.3035443,-0.007486234,0.3030303
3,8,1,3,13,17,12,8,0,0,3,5,21,0.2897469,0.1828438,0.3017677
1,5,1,2,13,18,12,8,1,1,1,4,23,0.3173418,0.5849854,0.3592172
3,7,1,3,15,18,7,7,0,0,3,4,21,0.2897469,0.4421154,0.3188131
5,9,2,2,10,15,6,5,0,0,4,7,19,0.2621519,-0.1607099,0.2525253
3,8,1,3,10,16,10,6,1,1,3,6,21,0.2897469,-0.4125207,0.2626263
2,8,1,3,11,16,13,8,0,0,2,4,22,0.3035443,-0.9361055,0.2392677
2,8,1,2,12,20,11,4,0,0,2,6,22,0.3035443,-0.01668048,0.302399
1,6,1,2,11,14,12,7,0,0,1,5,23,0.3173418,-1.249417,0.227904
4,6,1,3,13,17,6,6,1,1,4,4,20,0.2759494,0.6722482,0.3181818
6,7,2,3,12,14,8,7,0,0,4,4,18,0.2483545,0.4942353,0.2765152
3,7,1,3,9,15,12,9,0,0,3,4,21,0.2897469,-0.7006003,0.2436869
5,8,2,2,13,14,6,5,1,1,4,6,19,0.2621519,0.8299831,0.3118687
4,8,2,4,13,14,10,8,0,0,3,3,20,0.2759494,0.07934949,0.2809343
4,9,2,3,8,14,10,5,0,0,3,6,20,0.2759494,-0.9959075,0.2133838
6,9,1,2,10,13,7,3,0,0,6,8,18,0.2483545,-0.7245521,0.2070707
2,4,1,3,12,20,10,10,0,0,2,2,22,0.3035443,0.7188595,0.352904
0,5,0,2,17,20,24,8,0,0,0,3,24,0.3311393,1.292029,0.427399
4,8,1,2,13,18,8,4,0,0,4,6,20,0.2759494,0.4411182,0.3036616
4,7,1,3,11,14,7,7,0,0,4,5,20,0.2759494,0.1697917,0.2866162
5,8,2,3,9,14,8,8,0,0,4,4,19,0.2621519,-0.9089994,0.207702
3,8,1,2,12,16,12,7,0,0,3,7,21,0.2897469,-0.2300703,0.2746212
4,7,2,2,11,15,9,6,1,1,3,5,20,0.2759494,-0.3226158,0.2556818
3,5,1,3,12,16,9,9,1,1,3,3,21,0.2897469,1.008672,0.3560606
3,5,1,3,14,17,10,9,0,0,3,3,21,0.2897469,0.6437711,0.3320707
1,3,1,2,14,20,18,14,0,0,1,2,23,0.3173418,0.3733236,0.3440657
3,6,1,2,15,17,14,8,0,0,3,4,21,0.2897469,1.36397,0.3794192
1,4,1,2,12,19,16,8,0,0,1,3,23,0.3173418,-0.4468659,0.2853535
4,9,1,2,11,14,7,7,0,0,4,6,20,0.2759494,-0.7346301,0.229798
2,7,1,3,12,17,12,7,0,0,2,4,22,0.3035443,-0.3752563,0.2777778
6,11,2,3,10,14,6,4,0,0,4,5,18,0.2483545,-0.8353509,0.2007576
3,6,1,2,12,14,9,8,1,1,3,5,21,0.2897469,0.02920131,0.2916667
2,6,1,2,15,18,13,5,0,0,2,5,22,0.3035443,0.6177228,0.3459596
2,4,1,3,11,15,10,8,1,1,2,2,22,0.3035443,-0.182177,0.2910354
2,6,1,2,12,16,14,8,1,1,2,4,22,0.3035443,-0.007486234,0.3030303
3,6,2,4,13,17,10,8,0,0,2,3,21,0.2897469,0.451718,0.3194444
4,8,2,2,13,17,12,7,0,0,3,5,20,0.2759494,0.65215,0.3169192
1,5,1,2,14,17,19,9,1,1,1,4,23,0.3173418,0.1881195,0.3308081
2,5,1,3,14,17,13,11,0,0,2,3,22,0.3035443,0.3970608,0.3308081
7,12,2,4,9,13,3,2,0,0,6,7,17,0.234557,-0.9289404,0.1843434
5,10,2,3,10,14,10,5,0,0,4,7,19,0.2621519,-0.2555635,0.2468434
5,9,2,3,10,16,8,6,0,1,3,5,19,0.2621519,-0.1607099,0.2525253
0,5,0,2,13,18,24,8,1,1,0,4,24,0.3311393,0.3938178,0.3604798
2,9,1,2,11,16,17,4,0,0,2,7,22,0.3035443,-0.2005655,0.2897727
5,9,2,4,8,16,7,5,0,0,4,5,19,0.2621519,-1.056549,0.1988636
2,5,1,3,14,18,11,10,1,1,2,3,22,0.3035443,0.9119388,0.3661616
4,9,1,2,12,13,8,5,0,0,4,7,20,0.2759494,-0.6843845,0.2329545
1,6,1,2,13,19,16,6,1,1,1,5,23,0.3173418,0.3556851,0.342803
6,13,2,3,8,13,8,5,0,0,4,6,18,0.2483545,-1.056949,0.1881313
4,9,1,4,11,16,7,5,0,0,4,6,20,0.2759494,-0.5436966,0.2417929
4,9,1,3,9,15,8,6,1,1,4,5,20,0.2759494,-0.2020262,0.2632576
8,12,3,3,10,11,5,3,0,0,5,6,16,0.2207595,-0.7863119,0.1805556
2,6,1,2,14,17,11,8,1,1,2,5,22,0.3035443,0.4338378,0.3333333
5,10,1,3,9,16,5,4,0,0,5,7,19,0.2621519,-0.3504171,0.2411616
4,9,1,4,11,16,11,8,0,0,4,5,20,0.2759494,0.1496934,0.2853535
4,8,1,3,13,17,6,5,0,0,4,5,20,0.2759494,0.4511673,0.3042929
4,8,2,3,12,15,10,5,0,0,3,5,20,0.2759494,-0.342714,0.2544192
4,10,1,3,10,17,8,4,0,0,4,7,20,0.2759494,-0.5637949,0.2405303
1,6,1,2,13,14,16,7,0,0,1,5,23,0.3173418,-1.073032,0.2405303
2,5,1,3,13,18,13,9,0,0,2,3,22,0.3035443,0.4522263,0.334596
2,6,1,2,15,18,14,9,0,0,2,5,22,0.3035443,0.9671043,0.3699495
3,6,1,3,14,17,10,10,0,0,3,3,21,0.2897469,0.8934401,0.3484848
2,4,1,2,14,17,11,9,0,0,2,3,22,0.3035443,0.7464423,0.354798
1,5,1,2,13,17,12,9,1,1,1,4,23,0.3173418,0.1263848,0.3263889
2,6,1,2,12,16,13,6,1,1,2,4,22,0.3035443,0.05687352,0.3074495
5,9,2,4,10,14,10,7,1,1,3,5,19,0.2621519,-0.8984601,0.2083333
1,6,1,2,12,17,12,7,0,0,1,5,23,0.3173418,0.0558309,0.3213384
1,4,1,3,17,19,13,12,0,0,1,2,23,0.3173418,0.6643586,0.364899
