Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
4,28,2,15,15,39,35,20,0,0,3,9,57,0.1969746,-2.462491,0.05273487
4,35,1,10,7,38,16,4,0,0,4,16,57,0.1969746,-3.01201,0.02054697
0,18,0,3,15,40,61,21,0,0,0,13,61,0.2107974,-2.215673,0.072407
3,33,1,8,10,40,51,5,0,0,3,17,58,0.2004303,-2.606759,0.04520807
0,21,0,4,12,40,61,9,0,0,0,14,61,0.2107974,-2.656941,0.04484552
0,20,0,4,12,40,61,10,0,0,0,14,61,0.2107974,-2.548926,0.05159206
1,24,1,7,14,39,44,20,0,0,1,11,60,0.2073417,-2.282782,0.06697667
1,20,1,4,14,39,56,10,0,0,1,11,60,0.2073417,-2.360586,0.06219262
0,20,0,3,11,40,61,13,0,0,0,15,61,0.2107974,-2.717131,0.04108607
0,25,0,4,13,40,61,12,0,0,0,14,61,0.2107974,-2.353971,0.06376892
1,22,1,4,13,40,60,15,0,0,1,14,60,0.2073417,-2.538497,0.05125315
1,14,1,4,14,40,53,23,0,0,1,9,60,0.2073417,-2.536446,0.05137926
0,24,0,7,14,40,61,24,0,0,0,10,61,0.2107974,-2.250878,0.07020807
1,20,1,4,13,39,58,15,0,0,1,10,60,0.2073417,-2.413395,0.05894546
0,23,0,4,10,40,61,10,0,0,0,11,61,0.2107974,-2.575047,0.04996059
1,30,1,6,12,40,59,12,0,0,1,14,60,0.2073417,-2.673468,0.04295397
0,25,0,4,13,40,61,8,0,0,0,14,61,0.2107974,-2.635994,0.04615385
0,19,0,5,13,40,61,14,0,0,0,13,61,0.2107974,-2.379461,0.06217686
0,22,0,5,12,40,61,13,0,0,0,11,61,0.2107974,-2.534668,0.05248266
2,20,1,3,11,39,33,8,0,0,2,12,59,0.203886,-3.023799,0.02089376
1,21,1,3,12,40,38,13,0,0,1,15,60,0.2073417,-2.704871,0.04102301
